title,project_number,applicants,field,procedure,funding,url,error
3D-Druck von realistischen MRT Phantomen um die Entwicklung und Vergleichbarkeit von MR Sequenzen zu verbessern: Machbarkeitsstudie an einem Lebermetastasen-Modell,402193160,Privatdozent Dr. Paul Jahnke ; Professor Dr. Marcus R. Makowski,"Medizinische Physik, Biomedizinische Technik Nuklearmedizin, Strahlentherapie, Strahlenbiologie",Sachbeihilfen,Förderung von 2018 bis 2023,https://gepris.dfg.de/gepris/projekt/402193160,
3D effects of seismic ground motion in the Taipei Basin and implications for hazard and risk,27463483,Professor Dr. Friedemann Wenzel,Physik des Erdkörpers,Sachbeihilfen Internationaler Bezug Taiwan,Förderung von 2007 bis 2009,https://gepris.dfg.de/gepris/projekt/27463483,
3-d evolution of solar wind streams and suprathermal particles,64101029,Professor Dr. Robert F. Wimmer-Schweingruber,Astrophysik und Astronomie,Sachbeihilfen,Förderung von 2008 bis 2012,https://gepris.dfg.de/gepris/projekt/64101029,
3D-FaserForm - Integrierte 3D-Geometrie- und -Texturmessung für die FVK-Produktion,152202997,Professor Dr.-Ing. Robert Heinrich Schmitt,"Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement und Fabrikplanung",Sachbeihilfen,Förderung von 2009 bis 2012,https://gepris.dfg.de/gepris/projekt/152202997,
3D-Finite-Elemente-Mikrobohrsimulation mehrphasiger Werkstoffe,175020554,Professor Dr.-Ing. Fritz Klocke,Spanende und abtragende Fertigungstechnik,Sachbeihilfen,Förderung von 2010 bis 2017,https://gepris.dfg.de/gepris/projekt/175020554,
3D Finite Elemente Simulationen zur Verbesserung der Abbildung von Luft- und Ventilationsverteilung in der Lunge durch Elektrische Impedanztomographie (EIT),363793217,Dr. Günter Hahn,"Medizinische Physik, Biomedizinische Technik",Sachbeihilfen Mitverantwortlich Professor Dr. Michael Quintel,Förderung von 2017 bis 2019,https://gepris.dfg.de/gepris/projekt/363793217,
3DFold - Programmierte Faltung mesoskopischer 3D Objekte durch viskoeelastische Rekonfiguration,412265813,Dr.-Ing. Robert Kirchner,Mikrosysteme Herstellung und Eigenschaften von Funktionsmaterialien,Sachbeihilfen,Förderung von 2018 bis 2022,https://gepris.dfg.de/gepris/projekt/412265813,
3D Freihand Ultraschall für Neurologische Diagnostik,240707732,Professor Dr. Kai Bötzel ; Professor Dr. Nassir Navab,"Medizinische Physik, Biomedizinische Technik",Sachbeihilfen,Förderung von 2013 bis 2017,https://gepris.dfg.de/gepris/projekt/240707732,
3D Funktionsmodule der mimischen Muskulatur (3D FACE),513971995,Professor Dr. Martin S. Fischer ; Professor Dr. Orlando Guntinas-Lichius,"Hals-Nasen-Ohrenheilkunde, Phoniatrie und Audiologie",Sachbeihilfen,Förderung seit 2023,https://gepris.dfg.de/gepris/projekt/513971995,
3D-gedruckte Drug-Delivery-Systeme mit zeitlich steuerbarer Wirkstofffreisetzung,355927747,Professor Dr.-Ing. Hermann Seitz ; Dr. Michael Teske,"Biomaterialien Herstellung und Eigenschaften von Funktionsmaterialien Medizinische Physik, Biomedizinische Technik",Sachbeihilfen Mitverantwortliche Dr. Thomas Eickner ; Professor Dr.-Ing. Niels Grabow ; Professor Dr.-Ing. Klaus-Peter Schmitz,Förderung von 2017 bis 2019,https://gepris.dfg.de/gepris/projekt/355927747,
3D gedruckte in vitro Knochenmodelle,535949855,in Dr. Anne Bernhardt,"Orthopädie, Unfallchirurgie, rekonstruktive Chirurgie",Sachbeihilfen,Förderung seit 2023,https://gepris.dfg.de/gepris/projekt/535949855,
