person_number,person_name,address,project_list,url,error
209893470,"Professor Dorian S. Abbot, Ph.D.","University of Chicago
Department of the Geophysical Sciences
5734 S. Ellis Ave.
Chicago IL 60637
USA",Ist die Jormungandhypothese eine mögliche alternative Erklärung für die Neoproterozoischen Eiszeiten?,https://gepris.dfg.de/gepris/person/209893470,
471074307,Privatdozent Dr. Tammam Abboud,"Georg-August-Universität Göttingen
Universitätsmedizin Göttingen
Klinik für Neurochirurgie
Robert-Koch-Straße 40
37075 Göttingen",Neue Methoden zur intraoperativen Untersuchung der elektrischen Eigenschaften des Gehirns,https://gepris.dfg.de/gepris/person/471074307,
1358310,Dr. Gudrun Abbt-Braun,"Karlsruher Institut für Technologie (KIT)
Engler-Bunte-Institut
Lehrstuhl für Wasserchemie und Wassertechnologie
Engler-Bunte-Ring 9a
76131 Karlsruhe","Isolierung und Charakterisierung von Bezugssubstanzen im Forschungsschwerpunkt ROSIG, Untersuchungen geochemischer Umsetzungen im Leckagebereich von Abwasserkanälen: Weitergehende DOC-Charakterisierung, sowie Studien zum Verhalten von Arzneimitteln in der Bodenpassage, Koordination der Forschungsgruppe 350, The Impact of Eutrophicaton and Decomposition of Organic Mater and Oriented Treatment on Water Quality, Einfluss von Störsubstanzen auf die bakterielle Nitrifikation im Abwasser - Untersuchungen mit Hilfe der Fluoreszenz in-situ Hybridisierung (EISBANA), Refractory Organic Substances in Capillary Fringes: Dynamics, Gradients and Reactions",https://gepris.dfg.de/gepris/person/1358310,
316983490,Negar Abdali,"Ruprecht-Karls-Universität Heidelberg
Zentrum für Altertumswissenschaften
Institut für Ur- und Frühgeschichte und
Vorderasiatische Archäologie
Sandgasse 7
69117 Heidelberg",Archäometrische Studie zu glasierten Backsteinen aus dem nordwestlichen Iran des 1. Jahrtausends v. Chr.,https://gepris.dfg.de/gepris/person/316983490,
59429943,Dr. Yaser Abdallah,"Justus-Liebig-Universität Gießen
Fachbereich Medizin
Physiologisches Institut
Aulweg 129
35392 Gießen","Identifizierung der zellulären Zielorganellen der Postkonditionierungsprotektion im reperfundierten Myokard, GRK 1566: Protecting the Heart from Ischemia (PROMISE)",https://gepris.dfg.de/gepris/person/59429943,
545905469,"Professor Redha Abdeddaim, Ph.D.","Université Aix-Marseille
Institut Fresnel - UMR 7249
Avenue Escadrille Normandie-Niemen
13397 Marseille Cedex
Frankreich",Nahfelduntersuchung zur Optimierung der Kommunikation über den menschlichen Körper,https://gepris.dfg.de/gepris/person/545905469,
1951404,Professor Dr. Ziad A. Abdeen,"Al-Quds University
Faculty of Medicine
Al-Quds Nutriton and Health Reserach Institute
Dept. of Community Health
Postfach P.O. Box. 19356
19356 Abu Dis
Palästina","Determinants of Cognitive Development in Deprived Environments: Evidence from the West Bank, Elektrogesponnene Polymervliese als hochfunktionale Substrate für Anwendungen in der Wasserverschmutzung und medizinischen Anwendungen, TBRF in the Middle East: Prevalence, molecular characterization and pathogenesis, Molecular evolution of mycobacterial and other relevant zoonotic infectious diseases in early civilizations - Host-pathogen relation and its changes in populations of the Dead Sea Valley and adjacent regions between the pre-domestication Neolithic and the Roman period, Emergence of Cutaneous Leishmaniasis due to Leishmania tropica and L. major in The Palestinian Authority and Israel",https://gepris.dfg.de/gepris/person/1951404,
571157370,Dr. Schaima Abdelhadi,"Medizinische Fakultät Mannheim der Universität Heidelberg
Universitätsmedizin Mannheim
Chirurgische Klinik
Theodor-Kutzer-Ufer 1-3
68167 Mannheim",PRÄVE-NAT: PRÄVEntion interventionsbedürftiger intraabdomineller Abszesse nach Laparotomie bei akuter Peritonitis durch intraoperative Peritoneal-Spülung mit NATriumhypochlorit/Hypochlorigesäure (NaOCl/HOCl)-Lösung - Eine Pilot-RCT,https://gepris.dfg.de/gepris/person/571157370,
277845590,"Mahmoud Rabie Abdel-Hafez, Ph.D.","Harvard University
Lyman Laboratory of Physics
17 Oxford Street
Cambridge MA 02138
USA",Kristallzüchtung und thermodynamische Untersuchungen von isovalent dotierten Eisen-basierten Supraleitern,https://gepris.dfg.de/gepris/person/277845590,
352651978,Dr. Hatem Abdelhalim Amin,"Ruhr-Universität Bochum
Fakultät für Chemie und Biochemie
Anorganische Chemie I - Lehrstuhl für
Bioanorganische Chemie
Universitätsstraße 150
44801 Bochum",Charakterisierung einzelner Polymer-Nanopartikel via Impact Voltammetrie,https://gepris.dfg.de/gepris/person/352651978,
